BWFG,1.45E+11
BWINA,3.54E+11
BWINB,3.56E+11
BWLD,2950000
BYBK,5.70E+10
BYFC,3.90E+10
BYLK,1.33E+11
BZUN,3.82E+11
CA,1.24E+07
CAAS,1.90E+11
CAC,4.60E+11
CACB,4.37E+11
CACC,3500000
CACQ,9.48E+11
CADC,3.75E+09
CADT,8.97E+10
CADTR,0
CADTU,0
CADTW,0
CAFD,8.53E+11
CAKE,2330000
CALA,1.30E+11
CALD,1140000
CALI,5.04E+09
CALL,1.53E+11
CALM,2750000
CAMB,1.06E+11
CAMBU,0
CAMBW,0
CAMP,6.81E+11
CAMT,8.79E+10
CAPN,2.24E+10
CAPNW,0
CAPR,6.34E+10
CAPX,0
CAR,4110000
CARA,4.28E+11
CARB,2.73E+11
CARO,1.45E+11
CART,2.88E+10
CARV,2.22E+10
CARZ,6.32E+10
CASH,3.10E+11
CASI,3.63E+10
CASM,4.33E+10
CASS,5.91E+11
CASY,4470000
CATB,1.11E+11
CATM,1630000
CATY,2780000
CATYW,0
CAVM,3940000
CBAK,3.63E+10
CBAN,7.85E+10
CBAY,3.05E+10
CBF,1470000
CBFV,8.79E+10
CBIO,3.42E+10
CBLI,4.17E+10
CBMG,2.42E+11
CBMX,1.03E+10
CBNJ,1.75E+11
CBNK,8.94E+10
CBOE,5940000
CBPO,3180000
CBRL,3310000
CBSH,4430000
CBSHP,2460000
CBYL,9.34E+10
CCBG,2.72E+11
CCCL,1.97E+10
CCCR,5.45E+09
CCD,4.43E+11
CCFI,0
CCIH,2.34E+11
CCLP,4.54E+11
CCMP,1010000
CCNE,2.70E+11
CCOI,1520000
CCRN,5.69E+11
CCUR,4.37E+10
CCXI,3.10E+11
CDC,2.35E+10
CDK,7730000
CDL,0
CDNA,7.92E+10
CDNS,6390000
CDOR,6.86E+09
CDORO,5.92E+09
CDORP,0
CDRB,5.86E+10
CDTI,2.69E+10
CDTX,1.89E+11
CDW,7630000
CDXS,1.51E+11
CDZI,5.72E+10
CECE,2.96E+11
CECO,2.56E+11
CELG,8.92E+07
CELGZ,0
CEMI,5.07E+10
CEMP,1310000
CENT,7.41E+11
CENTA,7.92E+11
CENX,3.07E+11
CERC,3.80E+10
CERCW,0
CERCZ,0
CERE,5.91E+09
CERN,2.01E+07
CERS,4.92E+11
CERU,8.74E+10
CETC,6.24E+09
CETV,3.06E+11
CETX,1.80E+10
CEVA,5.10E+11
CFA,7.36E+09
CFBK,2.22E+10
CFCB,1.08E+11
CFFI,1.31E+11
CFFN,1760000
CFGE,2.86E+10
CFMS,8.14E+11
CFNB,1.43E+11
CFNL,7.89E+11
CFO,2.57E+10
CFRX,1.03E+11
CFRXW,0
CG,5660000
CGEN,3.69E+11
CGIX,3.40E+10
CGNT,3.47E+10
CGNX,3110000
CGO,1.01E+11
CHCI,1.70E+09
CHCO,7.60E+11
CHDN,2560000
CHEF,5.04E+11
CHEK,2.67E+10
CHEKW,0
CHEV,9.85E+10
CHFC,1390000
CHFN,2.21E+11
CHI,6.83E+11
CHKE,1.64E+11
CHKP,1.55E+07
CHLN,2.67E+10
CHMA,4.62E+11
CHMG,1.27E+11
CHNR,4.04E+10
CHOP,4.51E+09
CHRS,1070000
CHRW,9840000
CHSCL,0
CHSCM,5.14E+11
CHSCN,4.65E+11
CHSCO,3.27E+11
CHSCP,2.23E+11
CHTR,2.09E+07
CHUY,5.05E+11
CHW,4.40E+11
CHY,7.90E+11
CIBR,0
CID,0
CIDM,2.85E+10
CIFC,1.71E+11
CIGI,1640000
CIL,0
CINF,1.00E+07
CISG,5.85E+11
CIVB,8.51E+10
CIVBP,0
CIZ,0
CIZN,1.03E+11
CJJD,3.05E+10
CKEC,5.42E+11
CLACU,2.50E+11
CLBH,7.71E+10
CLBS,6.65E+10
CLCD,7.56E+10
CLCT,1.40E+11
CLDN,3.01E+10
CLDX,1600000
CLFD,1.82E+11
CLIR,6.49E+10
CLLS,1160000
CLMS,1.91E+11
CLMT,1960000
CLNE,4.31E+11
CLNT,4.38E+09
CLRB,9.95E+09
CLRBW,0
CLRO,1.15E+11
CLSN,4.32E+10
CLUB,4.35E+10
CLVS,1010000
CLWT,6.21E+09
CMCO,3.84E+11
CMCSA,1.56E+08
CMCSK,1.56E+08
CMCT,1750000
CME,3.30E+07
CMFN,1.49E+11
CMLS,4.44E+10
CMPR,2700000
CMRX,1890000
CMTL,3.60E+11
CNAT,6.12E+10
CNBKA,2.51E+11
CNCE,5.07E+11
CNCR,0
CNET,2.40E+10
CNFR,6.96E+10
CNIT,2.32E+10
CNLM,5.45E+10
CNLMR,0
CNLMU,0
CNLMW,0
CNMD,1170000
CNOB,5.68E+11
CNSL,1090000
CNTF,3.76E+10
CNTY,1.61E+11
CNV,1220000
CNXR,8.42E+10
CNYD,9.83E+09
COB,3.36E+11
COBZ,5.45E+11
COHR,1660000
COHU,3.40E+11
COKE,1750000
COLB,2000000
COLL,3.75E+11
COLM,3400000
COMM,5380000
COMT,2.45E+11
CONE,2330000
CONN,9.39E+11
COOL,1.20E+10
CORE,1900000
CORI,1.23E+11
CORT,5.36E+11
COSI,2.16E+10
COST,7.13E+07
COVS,8.80E+10
COWN,5.09E+11
COWNL,0
COYN,1.02E+10
COYNW,0
CPAH,1.74E+10
CPHC,4.31E+10
CPHD,2610000
CPHR,1.08E+11
CPIX,9.38E+10
CPLA,5.56E+11
CPLP,7.78E+11
CPRT,4410000
CPRX,2.00E+11
CPSH,3.03E+10
CPSI,4.52E+11
CPSS,1.27E+11
CPST,2.98E+10
CPTA,2.12E+11
CPXX,6.05E+10
CRAI,2.02E+11
CRAY,1390000
CRBP,6.39E+10
CRDC,1.34E+10
CRDI,0
CRDS,2.72E+10
CRDT,7.28E+09
CREE,2640000
CREG,2.91E+10
CRESY,5.52E+11
CRIS,3.24E+11
CRME,1.73E+11
CRMT,2.76E+11
CRNT,1.11E+11
CROX,7.57E+11
CRTN,2.15E+10
CRTO,2680000
CRUS,1830000
CRVL,7.70E+11
CRWN,2100000
CRWS,8.49E+10
CRZO,2190000
CSA,0
CSAL,2760000
CSB,0
CSBK,3.77E+11
CSBR,3.96E+10
CSCD,2.57E+11
CSCO,1.40E+08
CSF,1.98E+10
CSFL,7.27E+11
CSGP,6650000
CSGS,1160000
CSII,4.76E+11
CSIQ,1150000
CSOD,1900000
CSPI,2.15E+10
CSQ,1550000
CSTE,1370000
CSUN,1.50E+10
CSWC,2.23E+11
CSWI,5.76E+11
CTAS,9860000
CTBI,6.33E+11
CTCM,2.87E+11
CTCT,1010000
CTG,1.25E+11
CTHR,2.56E+10
CTIB,1.45E+10
CTIC,2.55E+11
CTMX,5.17E+11
CTRE,5.12E+11
CTRL,1.68E+11
CTRN,3.61E+11
CTRP,1.57E+07
CTRV,4.48E+10
CTSH,3.96E+07
CTSO,1.67E+11
CTWS,4.02E+11
CTXS,1.15E+07
CU,1.25E+10
CUBA,3.81E+10
CUBN,9.59E+10
CUI,1.35E+11
CUNB,4.54E+11
CUR,1.02E+11
CUTR,1.69E+11
CVBF,1930000
CVCO,8.17E+11
CVCY,1.17E+11
CVGI,1.12E+11
CVGW,9.29E+11
CVLT,1820000
CVLY,1.23E+11
CVTI,3.72E+11
CVV,6.87E+10
CWAY,5.41E+10
CWBC,5.77E+10
CWCO,1.75E+11
CWST,2.80E+11
CXDC,2.10E+11
CXRX,2010000
CXSE,1.75E+10
CY,3300000
CYAD,4.12E+11
CYAN,3.11E+10
CYBE,4.73E+10
CYBR,1320000
CYCC,1.98E+10
CYCCP,1.72E+09
CYHHZ,0
CYNA,1.86E+11
CYNO,8.94E+11
CYOU,1160000
CYRN,6.12E+10
CYRX,1.68E+10
CYRXW,0
CYTK,4.35E+11
CYTR,2.11E+11
CYTX,5.18E+10
CZFC,2.76E+10
CZNC,2.48E+11
CZR,1060000
CZWI,4.79E+10
DAIO,1.95E+10
DAKT,4.36E+11
DARA,1.76E+10
DATE,2.26E+11
DAVE,6.19E+10
DAX,2.40E+11
DBVT,1330000
DCIX,7.76E+10
DCOM,6.84E+11
DCTH,9.12E+09
DELT,1.18E+10
DELTW,0
DENN,7.77E+11
DEPO,1120000
DERM,8.50E+11
DEST,6.92E+10
DFRG,3.29E+11
DFVL,1.94E+09
DFVS,1.58E+09
DGAS,1.47E+11
DGICA,3.89E+11
DGICB,5.10E+11
DGII,3.15E+11
DGLD,1.25E+10
DGLY,2.07E+10
DGRE,1.28E+10
DGRS,2.64E+10
DGRW,5.45E+11
DHIL,6.98E+11
DHRM,9.94E+09
DHXM,2.60E+11
DIOD,9.89E+11
DISCA,1.33E+07
DISCB,1.31E+07
DISCK,1.25E+07
DISH,2.96E+07
DJCO,2.86E+11
DLBL,4.14E+09
DLBS,1.80E+10
DLHC,2.51E+10
DLTH,4.27E+11
DLTR,1.61E+07
DMLP,4.05E+11
DMND,1320000
DMRC,2.63E+11
DMTX,3.35E+11
DNAI,5.29E+11
DNBF,7.99E+10
DNKN,3880000
DORM,1660000
DOX,8740000
DPRX,1.23E+11
DRAD,1.05E+11
DRAM,3.69E+09
DRNA,2.17E+11
DRRX,2.71E+11
DRWI,7.25E+09
DRWIW,0
DRYS,1.10E+11
DSCI,1.08E+11
DSCO,2.87E+10
DSGX,1500000
DSKX,5.10E+10
DSKY,5.31E+11
DSLV,3.98E+10
DSPG,2.22E+11
DSWL,2.40E+10
DTEA,2.62E+11
DTLK,1.66E+11
DTRM,3.56E+10
DTSI,4.38E+11
DTUL,4.57E+09
DTUS,1.20E+10
DTYL,5.43E+09
DTYS,6.37E+10
DVAX,9.62E+11
DVCR,5.60E+10
DWA,2130000
DWAT,0
DWCH,5.98E+10
DWSN,8.28E+10
DWTR,0
DXCM,7010000
DXGE,3.92E+11
DXJS,2.04E+11
DXKW,2.66E+10
DXLG,2.40E+11
DXM,2.08E+09
DXPE,4.49E+11
DXPS,3.49E+10
DXYN,8.48E+10
DYAX,5060000
DYNT,7.86E+09
DYSL,2.98E+10
EA,2.25E+07
EAC           ,3.97E+10
EACQ,2.48E+11
EACQU,0
EACQW,0
EAGL,0
EAGLU,0
EAGLW,0
EARS,1.11E+11
EBAY,3.49E+07
EBIO,5.52E+10
EBIX,1270000
EBMT,4.46E+10
EBSB,8.06E+11
EBTC,2.51E+11
ECAC,0
ECACR,0
ECACU,0
ECHO,7.34E+11
ECOL,7.99E+11
ECPG,8.45E+11
ECTE,1.81E+10
ECYT,1.99E+11
EDAP,1.37E+11
EDGE,3.97E+11
EDGW,9.03E+10
EDUC,5.38E+10
EEFT,4130000
EEI,4.56E+10
EEMA,1.47E+11
EEML,8.30E+09
EFII,2340000
EFOI,1.71E+11
EFSC,5.81E+11
EFUT,3.15E+10
EGAN,1.05E+11
EGBN,1760000
EGHT,1030000
EGLE,1.02E+11
EGLT,2.15E+11
EGOV,1310000
EGRX,1280000
EGT,3.20E+10
EHTH,2.18E+11
EIGI,1930000
ELEC,2.39E+11
ELECU,2.51E+11
ELECW,0
ELGX,6.54E+11
ELNK,9.51E+11
ELON,2.63E+10
ELOS,2.59E+11
ELRC,2.47E+11
ELSE,1.29E+10
ELTK,1.32E+10
EMCB,1.02E+11
EMCF,5.34E+10
EMCG,1.65E+10
EMCI,5.44E+11
EMIF,5.82E+10
EMITF,3.03E+10
EMKR,1.85E+11
EML,1.13E+11
EMMS,2.95E+10
EMMSP,3.33E+09
ENDP,1.34E+07
ENFC,1.17E+11
