Date,Open,High,Low,Close,Volume,Adj Close,action
2/27/15,554.242482,564.712602,552.902503,558.402572,2410200,558.402572,BUY
2/26/15,543.212476,556.142529,541.502464,555.482516,2311500,555.482516,BUY
2/25/15,535.90245,546.22244,535.447406,543.872489,1826000,543.872489,BUY
2/24/15,530.002419,536.792403,528.252381,536.092424,1005100,536.092424,BUY
2/23/15,536.052398,536.441465,529.412361,531.912381,1457900,531.912381,BUY
2/20/15,543.132484,543.75247,535.802444,538.952441,1444400,538.952441,SELL
2/19/15,538.042413,543.11247,538.012424,542.872432,989100,542.872432,SELL
2/18/15,541.402458,545.492471,537.512456,539.702422,1453100,539.702422,BUY
2/17/15,546.832511,550.00246,541.092465,542.842504,1616800,542.842504,SELL
2/13/15,543.352447,549.912491,543.132484,549.012501,1900300,549.012501,SELL
2/12/15,537.252405,544.822482,534.675391,542.932472,1620200,542.932472,BUY
2/11/15,535.302416,538.452473,533.380397,535.972405,1377800,535.972405,BUY
2/10/15,529.302379,537.702431,526.922378,536.942412,1749900,536.942412,SELL
2/9/15,528.002366,532.002411,526.022388,527.832406,1267800,527.832406,BUY
2/6/15,527.642431,537.202463,526.412373,531.002415,1749400,531.002415,SELL
2/5/15,523.792334,528.502395,522.092359,527.582391,1849800,527.582391,BUY
2/4/15,529.2424,532.67442,521.272361,522.762349,1663700,522.762349,BUY
2/3/15,528.002366,533.40243,523.262377,529.2424,2038700,529.2424,SELL
2/2/15,531.732383,533.002407,518.552316,528.482381,2849800,528.482381,BUY
1/30/15,515.862322,539.872444,515.522339,534.522445,5606400,534.522445,SELL
1/29/15,511.002313,511.092313,501.202274,510.662331,4186400,510.662331,BUY
1/28/15,522.782423,522.992349,510.002318,510.002318,1683800,510.002318,BUY
1/27/15,529.972369,530.702398,518.192381,518.63237,1904000,518.63237,SELL
1/26/15,538.532466,539.002444,529.672413,535.212448,1543700,535.212448,SELL
1/23/15,535.592457,542.172453,533.002407,539.952437,2281700,539.952437,SELL
1/22/15,521.482349,536.332463,519.702382,534.39245,2676900,534.39245,BUY
1/21/15,507.252283,519.282407,506.202315,518.042312,2268700,518.042312,BUY
1/20/15,511.002313,512.502307,506.018277,506.902294,2227900,506.902294,BUY
1/16/15,500.012273,508.1923,500.002267,508.082288,2298300,508.082288,SELL
1/15/15,505.572291,505.682273,497.762267,501.792271,2715800,501.792271,BUY
1/14/15,494.652237,503.232286,493.002234,500.872267,2235700,500.872267,BUY
1/13/15,498.842256,502.982302,492.392254,496.182251,2370500,496.182251,BUY
1/12/15,494.942247,495.978261,487.562205,492.552209,2322400,492.552209,BUY
1/9/15,504.7623,504.922285,494.792239,496.172274,2069400,496.172274,SELL
1/8/15,497.992238,503.4823,491.002212,502.682255,3353600,502.682255,SELL
1/7/15,507.002299,507.246285,499.652247,501.102268,2065100,501.102268,BUY
1/6/15,515.002358,516.177334,501.052266,501.962262,2899900,501.962262,SELL
1/5/15,523.262377,524.332389,513.062315,513.872306,2059800,513.872306,SELL
1/2/15,529.012399,531.272443,524.102327,524.812404,1447600,524.812404,SELL
12/31/14,531.252429,532.602384,525.802363,526.402397,1368200,526.402397,SELL
12/30/14,528.092396,531.152424,527.132366,530.422394,876300,530.422394,SELL
12/29/14,532.192446,535.482414,530.013375,530.332426,2278500,530.332426,BUY
12/26/14,528.772422,534.252417,527.312364,534.032454,1036000,534.032454,SELL
12/24/14,530.512424,531.761394,527.022384,528.772422,705900,528.772422,BUY
12/23/14,527.00237,534.56241,526.292354,530.592416,2197600,530.592416,SELL
12/22/14,516.082347,526.462376,516.082347,524.872383,2723800,524.872383,BUY
12/19/14,511.512318,517.722342,506.91331,516.352313,3690200,516.352313,BUY
12/18/14,512.952333,513.872306,504.70229,511.102319,2926700,511.102319,BUY
12/17/14,497.002248,507.002299,496.812244,504.892295,2883200,504.892295,BUY
12/16/14,511.562321,513.052308,489.00222,495.392273,3964300,495.392273,BUY
12/15/14,522.742335,523.102331,513.272333,513.80229,2813400,513.80229,SELL
12/12/14,523.512391,528.502395,518.662298,518.662298,1994600,518.662298,SELL
12/11/14,527.802355,533.922411,527.102376,528.34241,1610800,528.34241,SELL
12/10/14,533.082399,536.332463,525.562386,526.062353,1712300,526.062353,BUY
12/9/14,522.142362,534.192438,520.502366,533.37244,1871300,533.37244,SELL
12/8/14,527.132366,531.002415,523.792334,526.982357,2329400,526.982357,BUY
12/5/14,531.002415,532.892425,524.282386,525.262369,2565600,525.262369,BUY
12/4/14,531.1624,537.342434,528.592424,537.312445,1392100,537.312445,SELL
12/3/14,531.442404,535.998416,529.262414,531.322384,1278000,531.322384,BUY
12/2/14,533.512412,535.502427,529.802408,533.752389,1525800,533.752389,SELL
12/1/14,538.902438,541.412434,531.862379,533.802391,2115400,533.802391,SELL
11/28/14,540.622426,542.002431,536.602429,541.832471,1148300,541.832471,SELL
11/26/14,540.882478,541.552406,537.044437,540.372412,1523000,540.372412,BUY
11/25/14,539.002444,543.98241,538.60444,541.082489,1789100,541.082489,SELL
11/24/14,537.652489,542.702471,535.622446,539.272471,1706000,539.272471,BUY
11/21/14,541.612446,542.142464,536.562402,537.502419,2223700,537.502419,BUY
11/20/14,531.252429,535.112381,531.082408,534.832438,1562000,534.832438,BUY
11/19/14,535.002399,538.242425,530.082412,536.992415,1391600,536.992415,SELL
11/18/14,537.502419,541.942452,534.172425,535.032449,1962700,535.032449,BUY
11/17/14,543.582448,543.792436,534.063361,536.512461,1725800,536.512461,SELL
11/14/14,546.682442,546.682442,542.152501,544.402507,1289200,544.402507,SELL
11/13/14,549.802448,549.802448,543.482442,545.38249,1339400,545.38249,SELL
11/12/14,550.392507,550.462523,545.172441,547.312465,1129400,547.312465,SELL
11/11/14,548.492459,551.942473,546.302493,550.29244,965500,550.29244,SELL
11/10/14,541.462498,549.592522,541.022449,547.492463,1134600,547.492463,BUY
11/7/14,546.212525,546.212525,538.672437,541.012473,1633800,541.012473,BUY
11/6/14,545.502448,546.887472,540.972385,542.042458,1333300,542.042458,SELL
11/5/14,556.802481,556.802481,544.052426,545.922423,2032300,545.922423,SELL
11/4/14,553.002509,555.502529,549.302481,554.112486,1244200,554.112486,SELL
11/3/14,555.502529,557.902544,553.23251,555.222464,1382300,555.222464,SELL
10/31/14,559.352504,559.572529,554.752486,559.082538,2035100,559.082538,SELL
10/30/14,548.952522,552.802497,543.512493,550.312514,1455500,550.312514,BUY
10/29/14,550.00246,554.19254,546.982459,549.332532,1770500,549.332532,BUY
10/28/14,543.002488,548.98245,541.622422,548.902519,1271000,548.902519,BUY
10/27/14,537.032441,544.412422,537.032441,540.772496,1185300,540.772496,BUY
10/24/14,544.36248,544.882461,535.792407,539.782476,1973100,539.782476,BUY
10/23/14,539.322474,547.222436,535.852386,543.98241,2348800,543.98241,SELL
10/22/14,529.892437,539.802428,528.802351,532.712427,2919300,532.712427,BUY
10/21/14,525.192353,526.792383,519.112324,526.542369,2336300,526.542369,BUY
10/20/14,509.452317,521.762353,508.102301,520.84241,2607500,520.84241,BUY
10/17/14,527.252385,530.982402,508.532313,511.172335,5539400,511.172335,BUY
10/16/14,519.002342,529.432374,515.002358,524.512387,3708600,524.512387,SELL
10/15/14,531.012391,532.802396,518.302363,530.032409,3719400,530.032409,SELL
10/14/14,538.902438,547.192507,533.172368,537.942408,2222600,537.942408,SELL
10/13/14,544.992443,549.502492,533.102413,533.212456,2581700,533.212456,BUY
10/10/14,557.722484,565.132577,544.052426,544.492476,3081900,544.492476,SELL
10/9/14,571.182555,571.492549,559.062524,560.882579,2524800,560.882579,SELL
10/8/14,565.572566,573.882587,557.492484,572.502582,1990900,572.502582,SELL
10/7/14,574.402629,575.27263,563.742534,563.742534,1911300,563.742534,BUY
10/6/14,578.802574,581.002639,574.442595,577.352614,1214600,577.352614,SELL
10/3/14,573.052613,577.227576,572.502582,575.282606,1141700,575.282606,BUY
10/2/14,567.312567,571.912585,563.322559,570.082615,1178400,570.082615,BUY
10/1/14,576.012635,577.582615,567.01255,568.272597,1445500,568.272597,BUY
9/30/14,576.932578,579.852634,572.852541,577.36259,1621700,577.36259,SELL
9/29/14,571.7526,578.192625,571.172579,576.362594,1282400,576.362594,BUY
9/26/14,576.062638,579.2526,574.662558,577.1026,1443700,577.1026,SELL
9/25/14,587.552646,587.982658,574.182604,575.062581,1926000,575.062581,BUY
9/24/14,581.462641,589.632691,580.522624,587.992634,1728100,587.992634,SELL
9/23/14,586.852606,586.852606,581.002639,581.132634,1471400,581.132634,BUY
9/22/14,593.82271,593.951665,583.462694,587.372648,1689500,587.372648,SELL
9/19/14,591.502688,596.482654,589.502696,596.082692,3736600,596.082692,SELL
9/18/14,587.002675,589.542661,585.002622,589.272695,1444600,589.272695,BUY
9/17/14,580.012619,587.522656,578.777665,584.772683,1692800,584.772683,BUY
9/16/14,572.762572,581.502606,572.662566,579.95264,1480400,579.95264,BUY
9/15/14,572.94257,574.952599,568.212618,573.102555,1597600,573.102555,BUY
9/12/14,581.002639,581.642639,574.462608,575.622589,1601700,575.622589,SELL
9/11/14,580.362639,581.812599,576.262588,581.352598,1221000,581.352598,SELL
9/10/14,581.502606,583.502659,576.942615,583.102636,977400,583.102636,SELL
9/9/14,588.902723,589.002667,580.002643,581.012615,1287200,581.012615,BUY
9/8/14,586.602653,591.772715,586.302635,589.722659,1431000,589.722659,SELL
9/5/14,583.982613,586.55265,581.952632,586.082672,1632400,586.082672,BUY
9/4/14,580.002643,586.00268,579.222611,581.982621,1458200,581.982621,BUY
9/3/14,580.002643,582.992655,575.002602,577.942611,1215100,577.942611,BUY
9/2/14,571.852545,577.832629,571.192593,577.332662,1578400,577.332662,BUY
8/29/14,571.332625,572.04258,567.07155,571.60253,1083800,571.60253,BUY
8/28/14,569.562573,573.252563,567.102518,569.202577,1292900,569.202577,BUY
8/27/14,577.272622,578.492581,570.105627,571.002557,1703400,571.002557,SELL
8/26/14,581.262629,581.802623,576.582619,577.862619,1639700,577.862619,SELL
8/25/14,584.722619,585.002622,579.002647,580.202654,1361400,580.202654,SELL
8/22/14,583.592689,585.238682,580.642643,582.562642,789100,582.562642,SELL
8/21/14,583.822628,584.502655,581.142671,583.372664,914800,583.372664,SELL
8/20/14,585.88266,586.702658,582.572618,584.492618,1036700,584.492618,SELL
8/19/14,585.002622,587.342658,584.002627,586.862643,978700,586.862643,SELL
8/18/14,576.11258,584.512631,576.002598,582.162619,1284100,582.162619,BUY
8/15/14,577.862619,579.382595,570.522603,573.482564,1519200,573.482564,BUY
8/14/14,576.182596,577.902645,570.882599,574.652643,985500,574.652643,SELL
8/13/14,567.312567,575.002602,565.752564,574.782639,1441800,574.782639,SELL
8/12/14,564.522567,565.902572,560.882579,562.732562,1542000,562.732562,BUY
8/11/14,569.992585,570.492553,566.002578,567.882551,1214700,567.882551,SELL
8/8/14,563.562536,570.252576,560.3525,568.772626,1494800,568.772626,SELL
8/7/14,568.00257,569.89258,561.102482,563.362525,1110900,563.362525,BUY
8/6/14,561.782569,570.702601,560.002541,566.376589,1334400,566.376589,SELL
8/5/14,570.052564,571.982601,562.612543,565.072598,1551200,565.072598,BUY
